id,brand,model,description,price,list_1,list_2,list_3,list_4,list_5,list_6,list_7,list_8,list_9
190781,CONFITEL,economicos,"BLUPER Chle Botellita x 400 g (80 u)",3180.70,0,3180.70,3209.20,3240.20,3299.90,3357.20,3429.70,3492.10,3647.70
190785,BILLIKEN,surtido,"BILLIKEN Mast Plegado x 300 g",1287.59,0,1287.59,1299.32,1312.09,1336.69,1360.24,1390.08,1415.73,1479.79
190786,"LA DOLCE",,"BULL DOG Regaliz Display Frambuesa 12 x 18 g (3u)",2092.41,0,2092.41,2111.46,2132.21,2172.19,2210.47,2258.95,2300.63,2404.74
190787,"LA DOLCE",,"BULL DOG Regaliz Display Frutilla 12 x 18 g (3u)",2092.41,0,2092.41,2111.46,2132.21,2172.19,2210.47,2258.95,2300.63,2404.74
190788,"LA DOLCE",,"BULL DOG Regaliz Display Tutti 12 x 18 g (3u)",2092.41,0,2092.41,2111.46,2132.21,2172.19,2210.47,2258.95,2300.63,2404.74
190789,VIDAL,"goma frasco","VIDAL Gma Cerebros x 900 g (150 u)",9571.20,0,9571.20,9660.50,9757.80,9945.30,10124.70,10352.10,10547.50,11035.60
190790,VIDAL,"goma frasco","VIDAL Gma Calaberas x 885 g (75 u)",9571.20,0,9571.20,9660.50,9757.80,9945.30,10124.70,10352.10,10547.50,11035.60
190791,VIDAL,"goma frasco","VIDAL Gma Labios x 885 g (75 u)",9571.20,0,9571.20,9660.50,9757.80,9945.30,10124.70,10352.10,10547.50,11035.60
190792,VIDAL,"goma frasco","VIDAL Gma Botellas x 885 g (75 u)",9571.20,0,9571.20,9660.50,9757.80,9945.30,10124.70,10352.10,10547.50,11035.60
190793,VIDAL,"goma frasco","VIDAL Gma Caracoles x 910 g (140 u)",9571.20,0,9571.20,9660.50,9757.80,9945.30,10124.70,10352.10,10547.50,11035.60
190794,VIDAL,"goma frasco","VIDAL Gma Tortugas x 900 g (150 u)",9571.20,0,9571.20,9660.50,9757.80,9945.30,10124.70,10352.10,10547.50,11035.60
190796,GUIALEMAR,cables,"DOCILE CANUDINHO Multicolor 12 x 15 g (3 u)",1915.20,0,1915.20,1933.10,1952.50,1990.00,2026.00,2071.40,2110.50,2208.20
190797,GUIALEMAR,cables,"DOCILE CANUDINHO Frutilla 12 x 15 g (3 u)",1915.20,0,1915.20,1933.10,1952.50,1990.00,2026.00,2071.40,2110.50,2208.20
